"","mission.corp6"
"472108243 2017"," enhance  educational  social well-being   alumni current students faculty   alma mater national institute  technology rourkela  providing direct assistance scholarships  knowledge exchange opportunities  appropriate"
"472119864 2015"," promote  support  buccaneer tv broadcasting  journalism program  south dade senior high school"
"472123202 2016","provide sport opportunities  children  adults   ability disability   western new york community provide financial assistance  sport programs  encourage healthy  active lifestyles  well  encourage lifelong participation  sport"
"472125575 2017"," identify  community's greatest needs   initiate sustainable programs  interventions  improve  health outcomes quality  life  economic vitality   atchison kansas community"
"472128696 2016"," provide quality daycare  preschool   residents   community   provide  loving christian enviornment  children  grow"
"472128696 2015"," provide quality daycare  preschool   residents   community   provide  loving christian enviornmnet  children  grow"
"472132772 2017","promote women health  fitness  physical activity re roller derby"
"472134965 2015","provide training  support  youths  adults   field  computer programming"
"472141843 2016","parker performing arts school will prepare students  future success  rigorous  innovative academic instruction  meaningful engagement   performing arts parker performing arts school will equip students   creative  critical thinking skills   vital  success   innovative enviroment   future  safety   key priority  students will engage  daily performing arts training  passionate  experienced artists  will  regular performance  recital opportunities  students will excel academically   data-driven blended learning enviroment  includes teacher-led  technology-infused instruction"
"472146971 2017","linking people whose hearts   moved  help  poor  disadvantaged  organizations around  world   working  serve  communities"
"472146998 2016"," research educate  inform retirees future retirees   general public   best  protect  promote retirement income security  retiree health care"
"472148061 2016"," provide charitable support   village  germantown  surrounding communites"
"472149929 2016"," advancing communities foundation   501_c_3  supports american indian alaska native communities  four areas educational attainment academic preparation services  k-phd environmental stewardship environmental training  partnerships  create sustainability  reservation families public health providing community education  support regarding physical  mental health  wellness leadership development workshops  training  young adults  professionals"
"472154428 2015","provide  positive youth athletics soccer activities  support  development  every player.we foster  development   player"
"472156167 2016","organize annual polka festival  educate individuals   polish culture   provide funding   area non-profit groups"
