"","programs.corp6"
"474856312 2017","helped enable children  attend school  assisting  feeding  clothing "
"474858187 2017","shelter support program cumberland county   city  crossville  decades   dog pound   dump  budgeted 180,000   building  new adoption center   animal shelter    giant step   right direction      fraction    needed  house   animals     countys care   given time  new adoption center  built   county  meant  house   animals   currently available  adoption leaving many      existing facitlity   plan  use   intake  holding building many   dogs will continue   housed  outdoor kennels regardless   weather foccas  determined  replace  old facility   new building  intake  holding  facility  3350 sq ft indoors   additional 1150 sq ft outside  roof 23 indoor outdoor dog runs 5 x 16-each big enough  comfortably house 2 dogs 4 small indoor runs  nursing mothers puppies  injured dogs   heal separate community rooms  healthy male  female cats treatment room bathing laundry  feeding stations intake office storage handicapped accessible restroom  2017 foccas spent 4,142   capital campaign  build  new sheltering facility  cumberland county  1,441  equipment   new facility  balance  spent  support   present shelter  ongoing services"
"474859287 2017"," christmas celebration   annual event  celebrate  advent  christ  persons      ministry  parolees   part   year meals  christmas gifts  clothing  bibles  provided  success celebration   annual event put    county partnership council  tarrant county intended  honor men  women   lived   parole successfully"
"474864862 2016"," provide  safe refuge  nurturing environment  unaccompanied homeless youth   families  order  attain success  academic social  career development  will position   thrive  young adults"
"474865647 2017","mission quest  provided missionaries   hands  missionary  help guide   take  burden    handle donations     can concentrate  spreading  word  god around  world"
"474867045 2017","montessori education"
"474868579 2017","provided care  elderly  disabled individuals unable  care  "
"474871958 2015","membership healthcare program providing educational materials  membership"
"474873205 2016"," main purpose   organization deliberate   provide affordable quality  state-of-the art child care services  local working parents deliberate strives  provide  quality education  developing  childrens perception thinking  language skills   group setting  allowing recreational interaction  children  supervised play acitivities   year ended 6 30 17"
"474873224 2016"," promoted  sponsored weekly races   summer months   local communities  promoted without profit  interest  planning constructing  racing  open-wheeled racing machines  also governed trials  speed  endurance  said machines  promoted fair competiition among racers builders  owners  open-wheeled racing machines"
